Name,Bachelors,Masters,Professionals,Doctors,Total,State,Bachelor's Percent,Master's Percent,Professional's Percent,Doctor's Percent,Percent Sum
Pennsylvania,1621733.0,752518.0,171742.0,127226.0,8885953.0,42,18.2505241700018,8.468624580841245,1.9327358584948626,1.431765394212641,30.08365000355055
Rhode Island,144515.0,67318.0,15471.0,13092.0,729261.0,44,19.816636293453236,9.230988630956544,2.121462686198768,1.7952420326878855,32.96432964329644
South Carolina,571099.0,241554.0,48967.0,36461.0,3325601.0,45,17.17280575751571,7.2634690691998225,1.4724255856309882,1.0963732570443658,27.005073669390885
South Dakota,109468.0,32264.0,8192.0,6190.0,560605.0,46,19.52676126684564,5.755210888236816,1.4612784402565087,1.1041642511215561,27.84741484646052
Tennessee,738613.0,301103.0,73194.0,53863.0,4478450.0,47,16.492603467717625,6.723375274927709,1.6343601022675256,1.2027152251336959,26.053054070046553
Texas,3288777.0,1255615.0,274956.0,191047.0,17454431.0,48,18.84207511548214,7.193674775190323,1.5752790795643812,1.094547281432434,28.705576251669278
Utah,375297.0,136858.0,30298.0,24698.0,1743090.0,49,21.530557802523106,7.8514591902885105,1.7381776041397747,1.4169090523151415,32.537103649266534
Vermont,95590.0,46246.0,11257.0,8049.0,437900.0,50,21.829184745375656,10.560858643525918,2.57067823704042,1.838090888330669,36.79881251427266
Virginia,1220919.0,670315.0,139950.0,102313.0,5680765.0,51,21.49215818644144,11.799731198174893,2.4635766485675785,1.8010426412639846,37.5565086744479
West Virginia,155423.0,74597.0,16296.0,11105.0,1293665.0,54,12.01416131687879,5.766330541523501,1.2596769642836438,0.8584138861297167,19.898582708815653
Washington,1064440.0,444410.0,104838.0,73660.0,4896055.0,53,21.740768843487256,9.076899667181026,2.141274965252637,1.5044765632739012,34.46342003919482
Wyoming,67798.0,26053.0,5410.0,4693.0,388617.0,56,17.44596865294107,6.704029931783736,1.3921161452020885,1.2076157244793717,26.749730454406265
Wisconsin,748413.0,278119.0,64212.0,43737.0,3907816.0,55,19.151694962096474,7.116993225883716,1.6431684603369248,1.1192185097763048,29.031075158093415
